BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        0        1        0        0.0000000000e+00     NA                   NA          0.4   
0        1        1        0        0.0000000000e+00     -1.3640598480e+03    1.36e+15    0.4   
0        1        1        0        0.0000000000e+00     -1.3640598480e+03    1.36e+15    0.6   
0        2        1        0        0.0000000000e+00     -1.3400712801e+03    1.34e+15    0.7   
0        3        1        0        0.0000000000e+00     -1.3382151629e+03    1.34e+15    0.7   
0        4        1        0        0.0000000000e+00     -1.3138256827e+03    1.31e+15    0.8   
0        5        1        0        0.0000000000e+00     -1.2952357869e+03    1.30e+15    0.9   
0        6        1        0        0.0000000000e+00     -1.2762130230e+03    1.28e+15    0.9   
0        7        1        0        0.0000000000e+00     -1.2683189951e+03    1.27e+15    1.0   
0        8        1        0        0.0000000000e+00     -1.2658358758e+03    1.27e+15    1.1   
0        9        1        0        0.0000000000e+00     -1.2606621511e+03    1.26e+15    1.2   
0        10       1        0        0.0000000000e+00     -1.2429376727e+03    1.24e+15    1.3   
0        11       1        0        0.0000000000e+00     -1.2414303654e+03    1.24e+15    1.3   
0        12       1        0        0.0000000000e+00     -1.2290038560e+03    1.23e+15    1.4   
0        13       1        0        0.0000000000e+00     -1.2212346279e+03    1.22e+15    1.4   
0        14       1        0        0.0000000000e+00     -1.2153523113e+03    1.22e+15    1.5   
0        15       1        0        0.0000000000e+00     -1.2089059704e+03    1.21e+15    1.5   
0        16       1        0        0.0000000000e+00     -1.2018350962e+03    1.20e+15    1.6   
0        17       1        0        0.0000000000e+00     -1.1978263783e+03    1.20e+15    1.7   
0        19       1        0        0.0000000000e+00     -1.1977107341e+03    1.20e+15    1.7   
0        30       1        0        0.0000000000e+00     -1.1977107341e+03    1.20e+15    2.3   
0        30       1        0        -8.8600000000e+02    -1.1977107341e+03    35.18       2.3   
14       46       1        0        -8.8600000000e+02    -1.1977107341e+03    35.18       2.3   
26       58       1        0        -8.8600000000e+02    -1.1977107341e+03    35.18       2.3   
50       82       1        0        -8.8600000000e+02    -1.1977107341e+03    35.18       2.3   
98       128      1        0        -1.0200000000e+03    -1.1977107341e+03    17.42       2.3   
186      174      1        0        -1.0200000000e+03    -1.1977107341e+03    17.42       2.4   
258      231      1        0        -1.0200000000e+03    -1.1977107341e+03    17.42       2.4   
306      269      1        0        -1.0200000000e+03    -1.1977107341e+03    17.42       2.4   
346      298      1        0        -1.0200000000e+03    -1.1977107341e+03    17.42       2.4   
