BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        1        0        NA                   -1.5360897723e+03    NA          0.6   
0        1        1        0        -8.9500000077e+02    -1.5360897723e+03    71.63       0.8   
0        1        1        0        -8.9500000077e+02    -1.5360897724e+03    71.63       0.9   
8        12       9        2        -8.9500000077e+02    -1.5290078048e+03    70.84       1.7   
26       30       27       5        -8.9500000077e+02    -1.5286866363e+03    70.80       2.2   
50       54       49       11       -8.9500000077e+02    -1.5286866363e+03    70.80       2.6   
98       97       65       17       -8.9500000077e+02    -1.5286866363e+03    70.80       3.0   
162      159      119      32       -8.9500000077e+02    -1.5286866363e+03    70.80       3.2   
278      275      235      61       -8.9500000077e+02    -1.5286866363e+03    70.80       3.4   
401      398      358      92       -8.9500000077e+02    -1.5286866363e+03    70.80       3.7   
521      518      478      122      -8.9500000077e+02    -1.5286866363e+03    70.80       4.0   
641      638      598      152      -8.9500000077e+02    -1.5286866363e+03    70.80       4.4   
760      757      717      181      -8.9500000077e+02    -1.5286866363e+03    70.80       4.7   
880      877      837      211      -8.9500000077e+02    -1.5286866363e+03    70.80       5.0   
1000     997      957      241      -8.9500000077e+02    -1.5286866363e+03    70.80       5.3   
1118     1115     1075     271      -8.9500000077e+02    -1.5286866363e+03    70.80       5.5   
1236     1233     1193     301      -8.9500000077e+02    -1.5286866363e+03    70.80       5.7   
1352     1349     1309     330      -8.9500000077e+02    -1.5286866363e+03    70.80       6.0   
1464     1461     1419     354      -8.9500000077e+02    -1.5286866363e+03    70.80       6.3   
1574     1571     1529     377      -8.9500000077e+02    -1.5286866363e+03    70.80       6.5   
1684     1681     1639     400      -8.9500000077e+02    -1.5286866363e+03    70.80       6.7   
1790     1788     1743     424      -8.9500000077e+02    -1.5286866363e+03    70.80       7.0   
1891     1893     1844     448      -8.9500000077e+02    -1.5286866363e+03    70.80       7.4   
1996     1998     1949     472      -8.9500000077e+02    -1.5286866363e+03    70.80       7.6   
2095     2103     2048     496      -8.9500000077e+02    -1.5286866363e+03    70.80       7.9   
2193     2208     2144     520      -8.9500000077e+02    -1.5286866363e+03    70.80       8.1   
2294     2313     2245     544      -8.9500000077e+02    -1.5286866363e+03    70.80       8.4   
2386     2411     2337     567      -8.9500000077e+02    -1.5286866363e+03    70.80       8.7   
2479     2518     2430     591      -8.9500000077e+02    -1.5286866363e+03    70.80       8.9   
2573     2625     2524     615      -8.9500000077e+02    -1.5286866363e+03    70.80       9.2   
2670     2732     2621     639      -8.9500000077e+02    -1.5286866363e+03    70.80       9.4   
2774     2839     2725     663      -8.9500000077e+02    -1.5286866363e+03    70.80       9.7   
2880     2946     2831     687      -8.9500000077e+02    -1.5286866363e+03    70.80       9.9   
2970     3053     2921     711      -8.9500000077e+02    -1.5286866363e+03    70.80       10.1  
3056     3160     3007     734      -8.9500000077e+02    -1.5286866363e+03    70.80       10.4  
3146     3266     3097     757      -8.9500000077e+02    -1.5286866363e+03    70.80       10.6  
3237     3372     3188     780      -8.9500000077e+02    -1.5286866363e+03    70.80       10.9  
3332     3480     3283     805      -8.9500000077e+02    -1.5286866363e+03    70.80       11.1  
3435     3588     3386     831      -8.9500000077e+02    -1.5286866363e+03    70.80       11.5  
